id,point_code,chinese_pinyin,english_name,chinese_characters,etymology,description,location,needling,functions,secondary_functions,cautions,notes,chinese_pinyin_hebrew,english_name_hebrew,etymology_hebrew,description_hebrew,location_hebrew,needling_hebrew,functions_hebrew,secondary_functions_hebrew,cautions_hebrew,notes_hebrew,search_keywords_hebrew,created_at
263,CV2,QU GU,crooked bone,曲骨,,"An ancient Chinese name for the pubis ","On the midline of the abdomen, at the superior border of the symphisi pubis ","Perpendicular 0.3-1 cun ","1. Meeting with the LIV
2. Meeting of LIV and GB TMM
3. Builds yin and blood
4. Disperses yin through out the body, calms excess yang
5. Controls the liver's soft yin quality
SECONDARY FUNCTION
1. Treats acute menstrual issues, softens abdominal muscles, treats swelling by clearing
stagnation of CHI and blood in the lower abdomen
2. Influences male and female fertility, increases the sperm count, promotes
CHI/blood flow to the womb
3.  According to the law of opposites – softens the neck muscles
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
281,CV20,HUA GAI,Magnificent Canopy,華蓋,,"Hua – magnificent Gai – canopy Taoist/medical texts refer to the lungs as an adorned canopy. This can be a reference to the lung's high location relative to the other organs. CV20 is located on the upper border of the lungs ","On the midline of the sternum, level with the 1st intercostal space, where the manibrium meets the sternum ","Diagonally downwards 0.3 cun ","Contains a large amount of CV's CHI, from here CHI rises towards the throat and neck
Regulates rising CHI
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
282,CV21,XUAM JI,Jade Pivot,璇璣,"Xuam - wheel
","Ji – a contraption that turns The first 4 stars of the big dipper form the part of the pan placed on the stove. The other 3 stars form the handle. The 2nd and 3rd stars are called Xuam (jade) and JI (pearl). The depression at the end of the sternum is reminiscent of the bottom of the pan. CV21 is located next to (horizontal) bottom of the pan formed by the stars Xuam and Ji ","On the midline of the sternum, level with the 1st rib, 05 a cun inferior to the supra sternal notch ","Diagonally down, 0.3 cun ","1. Regulates rising CHI
","1. From here CHI is dispersed to the neck
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
283,CV22,TIAN TU,Celestial Chimney,天突,,"Tian – celestial Tu – sky, atmosphere, upper body The trachea is the chimney of the upper jiao, which is the heavenly portion of the body. CV22 is located at the bottom of the chimney ","0.5 cun superior to the supra sternal notch, at the center of the supra sternal fossa ","Surfaced, needle perpendicular then penetrate behind the sternum up to 1 cun ","1. Window of heaven
2. Point on the Yin Wei Mai
3. Tonifies SP
","1. Strengthens the lower back
2. Promotes lowering of LU CHI
3. Expels phlegm from the throat and chest
4. Expels heat
5. Stops cough, nourishes the throat, treats loss of voice (aphonia)
6. Calms asthma
7. Part of the group of points which treat struggle between yin and yang expressed
in pain radiating to the heart and back
8. Moxa to speed up metabolism
Nei Ching
Su Wen – 60: “CV's secondary meridian flows another way. It emanates from the naval and rises towards the heart, crosses it and rises to the throat, from there to the chin, wraps around the lips, to the eyes and enters BL1. If the secondary meridian is attacked, the patient will feel lower abdominal pain radiating to the heart. In women, there will be infertility and suffer from difficulty urinating, hemorrhoids and dryness of the throat. In this situation needle the DO MO points on the back. In severe cases use the CV points under the naval. If there is difficulty breathing, needle CV22. If the patient has “evil” in the throat, needle points on the face and chin”.
Nei Ching – 59: “Chi Po contemplated the problems of Wei CHI and wrote: If the Wei CHI does not flow and is stagnant, the patient will feel swelling of the abdomen and difficulty inhaling. If the Wei CHI is stored in the chest, needle CV22 and ST9. When the Wei CHI is in the abdomen needle ST36 and ST30. When it is in the chest and abdomen simultaneously, needle LIV13”.
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
284,CV23,LIAN QUAN,Spring Region,廉泉,,"Lian – side Quan – spring, fountain Located on top of the atoms apple, directly under the tongue, the area the beginning of much of the body fluids journey ","In the slight depression halfway between the lower border of the mandibula and the pharangeal prominence ","Diagonally upwards, 0.1 – 0.3 cun ","Point on the YinWei Mai
Tonifies KID CHI
Recieves CHI from the Chong
Meeting with Shao Yin
","1. Expels internal wind
2. Benefits speech
3. Expels fire
4. Expels phlegm
5. Calms rebellious CHI
6. Treats pain and swelling at the root of the tongue, difficulty pronouncing words
and aphonia
NEI Ching
Su Wen – 59: “The energy of KID and LIV emanate from 2 important points, CV23 and LIV1. These are meeting points of yin and yang”.
Nei Ching – 35: “ST16 and CV23 are passage ways of organic fluids I - Ching  they are therefore special points for treating thirst”.
Nei Ching – 75: “If yang CHI rises to the top of the body in waves that form pressure in the chest and difficulty breathing, needle SI17. If the CHI rises very powerfully, preventing speech and causing chest pain, needle CV23 in order to disperse this CHI in the kidney meridian”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
285,CV24,GHENG JIANG,Containing Fluids,承漿,,"Cheng– to receive Jiang – saliva When food or fluids are ejected from the mouth, a portion will drip down to this point ","At the center of the mento labial notch ","Diagonally upwards 0.1 – 0.5 cun ","1. Meeting with Du Mai
2. Meeting with the Yang Ming
","Balances the formation of saliva
Sends branches to the lips and gums meeting the Du Mai at DU28,
meeting the Yang Ming at ST1
Father of yang
DU
GV
Construction and construction of the movement
Signing the yang essence of every creation
Reproduction and pregnancy
Drive the Yin
Master the movement of all things
Solar energy in the microcosm
Center and Unification of the Body
Originates from kidneys and MING-MAN
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
264,CV3,ZHONG JI,center of 2 poles,中極,,"Zhong – center JI – channel, trench Located at the center of the body, on the perpendicular and horizontal axis, it's name is derived from the Chinese name for the northern star in the center of the heavens ","On the midline of the abdomen 1 cun above CV2 ","Perpendicular 0.3-1 cun ","MU point of BL
Meeting of he 3 leg yin TMM
Meeting with ST TMM
Controls WEI CHI and balances yin/yang of Wei CHI
Meeting of 3 leg yin meridian
","1. Expels local damp heat
2. Expels and cools heat, treats bur genital burning, itching and discomfort
3. Balances yin/yang treating general fatigue
4. 100 moxa cones for increasing sperm quality
5. Treats herniation of the anus
Needled with Ren Mo to tonify the Tai Yang
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
265,CV4,GUAN YUAN,Gate of Yuan,關元,,"Guan – storage, gate Yuan – Yuan CHI CV4 is the passage of Yuan CHI.” The critical meeting of original yang and original yin take place here. It is the storage place of Yuan CHI. ","On the midline of the abdomen 2 cun above CV2 ","Perpendicular 0.5-1.5 cun ","MU of the SI
Tonifies KID CHI, yang and Yuan
Meeting of the 3 leg yin meridian
Meeting of the 3 leg yin TMM
Meeting with the Bao Mai
Meeting with SP and ST
Moves yin and blood
Clears blockages
","1. Tonifies yang in general
2. With moxa to tonify general CHI
3. Raises CHI form the middle jiao to the upper jiao and head
4. Regulates menstruation
5. Supports CHI and blood in the womb
6. With CV6 to strengthen the pulses of the upper jiao and open blockages of blood,
CHI and yin in the lower jiao
7. Opens blockages of the Chong
Nei Ching
Su Wen – 34: “Diverging point of the Ren and Chong”
Nei Jing – 21: “Belongs to the group of points known as the 4 points of unity of yin and yang which are: CV12, CV22, CV4, GV9. These points are use to treat blockage sin the Ren which cause heart pain radiating to the back. These pains are an indication of a conflict between yin and yang Ren and Du.”.
Nei Ching: When there are problems with energy at the bottom of the body, the nourishing and protective energies are stuck and yin energy is attacking the upper part of the body. Yin energy is fighting with the yin energy causing swelling. If there are no results after needling ST36 (which rarely the case), needle the enregy points found under the naval: CV4, 10, 12, 13 if the energy has successfully been brought up the patient will get well immediately”.
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
266,CV5,SHI MEN,stone gate,石門,"Shi - a strong stone that a seed cannot over take
Alternative name: “Ming Men” - the gate of life important CHI is concentrated here
","Men – gate A place where crops cannot grow is known as a field of stone. A woman who cannot bear children is known as a “stone woman”. Needling this point can prevent a pregnancy ","On the center line of the abdomen 3 cun above CV3 ","Perpendicular 0.5-0.8 cun ","1. Mu of the TH particularly the lower jiao
2. Regulates the flow of Yuan CHI
","1. Strong concentration of CHI at this point, according to some sources needling it will
shorten the patient’s life
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
267,CV6,CHI HAI,Sea of Chi,氣海,,"CHI – CHI Hai – sea This area is a storage place for CHI, which nourishes the entire body. CHI emanates and return to the place. An important area in Taosit meditative techniques ","On the midline of the abdomen 3.5 cun above CV2 ","Perpendicular 0.8-1.2 cun ","1. Influences the HT and Brain
2. Tonifies Zhen CHI and KID Yang
3. Tonifies original CHI
4. Strong concentration of yin CHI
5. Tonifies CHI and yang
","1 . Regulates CHI
2.  Expels dampness
3.  With CV4 to tonify the pulses of the upper jiao
4.  Releases stagnation of CHI in the lower jiao
5.  Moxa with CV8 and CV4 as first aid for open stroke
6.  For general weakness, fatigue, constipation and weight loss
7. Treats yin disease where the patient has given up and wants to die
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
268,CV7,YIN JIAO,yin crossing,陰交,,"Yin – yin Jiao – meeting, crossing CV7 is a yin cross roads. Here KID, CV and Chong meet up. It is located on the yin aspect of the body ","On the abdominal midline 4 cun above CV2 ","Perpendicular 0.8-1.2 cun ","MU of the lower jiao
Meeting with Chon,, point on the Chong H
Controls the Bao Mai
Controls blood
Nourishes yin, strong concentration of yin
","1. Recives CHI from the PC and middle jiao
2. Regulates the womb
3. Clears blockages from the Chong and CV
4.  Treats heart pain with conflict between yin/yang
Nei Ching
Nei Ching: Concentration point of the secondary meridians, receives a branch directly from KID, PC, SI and TH it is there for the “energy control point” “
Nei Ching – 16: “By way of CV17 yang CHI returns to the interior body via the TH channel after it has flowed externally via the PC channel”
Nei Ching – 18: “CHI PO said that after abscesses have been found in different parts of the body, the abscess on the chest near CV17 are very dangerous because the ST is open to the by way of the TH channel. The patient will die in 8 days” .
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
269,CV8,QUE SHEN,Palace of the CHI,神闕,,"Que – an empty space used as a gate SHEN – spirit ","At the center of the naval ","Only moxa on top of salt/garlic/ginger ","Strengthens yin and supports yang
Tonifies Original CHI
Saves yang
Tonifies SP
Influences SHEN
","Opens the meridians and warms them
Tonifies SP yang
Revives the spirit for open stroke, coma or fainting
4.     Moxa for: stomachache, dysentery, on going diarrhea, stroke, lack of CHI,
cold limbs and fainting
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
270,CV9,SHU FEN,water divide,水分,,"Shui – water Fen – divide Located near the bottom opening of the small intestine which separates the pure fluids from the impure and separates fluids from food sending them to the BL and passes solids on to CO ","On the abdominal mid line 1 cun above CV8 ","Perpendicular 0.5 – 1 cun ","Influences body fluids and their transformation
Controls the water ways
Meeting with LU
","1. Treats edema, abdominal swelling and intestinal noise
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
204,GB1,TONG ZI LIAO,Orifice of the Pupil,瞳子髎,"Tong - a child/virgin.
","Liao – hole A small child still has the essence of heaven concentrated in him. This makes him naive, pure and clean. He is like a medium between the seen and unseen. The ability to see is at its essence, the ability to separate and separation is related to heavenly CHI . This is relevant due to GB1's location in the notch lateral to the Eye at the height of the pupil. ZI – The first heavenly branch. It is related to 11Am – 1PM the time that GB is most active ","cun lateral to the external Canthus of the Eye ","Surfaced 0.5 in the direction of Tai Yang ","1. GB’s meeting with SI/TH
2. Meeting point of Shao Yang
3. CHI entry point
4. Upper meeting point of LIV/GB divergent meridians
5. Sends CHI downwards
","1. Clears wind and heat from the face and eyes
2. Disperses fire
3. Treats local disorders of the eyes
4. Treats temporal headaches/migraines resulting from LIV/GB yang rising
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
213,GB10,FU BAI,Floating White,浮白,,"Fu – to float (a reference to the external rising CHI of wood) Bai – white (the color of metal) showing us that this point controls the rising of wood CHI ","At the superior border of the Mastoid Process at the height of the root of the ear, about 1.5 cun posterior and inferior to GB9 ","Diagonal-surfaced 0.5-1 cun ","1. Meeting of GB and BL
2. Uses metal CHI to control the rising of wood's yang CHI especially in GB on the head
","1. Important for regulating the wood-metal connection
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
214,GB11,TOU QIAO YIN,Head Cavity of Yin,頭竅陰,,"Qiao  – hole Tou – head The opposite of GB44 Zu Qian Yin foot cavity of yin. The Occipital region, where this point is located is considered the yin aspect of the head. It is used in disease connected to the 5 orifices related to yin (eyes, ears, mouth, nose, tongue) ","At the inferior border of the mastoid process, at the height of the External Auditory Meatus of the ear, 1 cun inferior to GB10 ","Diagonal  0.5 -1cun ","1.  Meeting of GB and BL
2.  Balances the communication of yin-yang, soul-life, internal-external, at the level of cosmic reception and spiritual output. This is done by way of the 5 orifices of the head (eyes-liver, ears-kidney, nose-lu, mouth-SP, tongue-heart)
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
215,GB12,WAN GU,Ear Bone,完骨,,"WAN GU is the ancient Chinese name for the Mastoid Process ","Posterior and inferior to the mastoid process, at the height of GV16 ","Diagonal 0.5-1 cun ","Meeting of BL and GB
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
216,GB13,BEN SHEN,Root of Shen,本神,,"Ben– source Shen – spirit, heart ","Directly above the external canthus, 3.5 cun superior to the glabella. ½ cun behing the natural hairline (½ cun medial to ST8) ","Diagonal 0.5-1 cun ","1. Point on the Yang Wei Mai
2. Meeting of three hand TMM yang
3. Balances between SHEN and Jing in the head
","Expels wind from the head
Calms the soul, treats nervousness, on going worry, mental
Supports the person’s vitality
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
217,GB14,YANG BAI,White Yang,陽白,,"Yang – yang Bai– white On the head a very yang location it is also a point on the Yang Wei Mai. White represents clarity this point is used to treat vision problems. ","With the patient looking directly forward, directly above the center of the pupil, 1 cun above the Glabella ","Surfaced towards the Eye 0.5 cun 1. Point on the Yang Wei Mai 2. GB’s meeting with TW ST CO 3. Sends and internal branch to BL1 4. Calming effect, bringing CHI down from the head to the body 5. Promotes mental clarity 6. Improves vision (more so emotional) ",,"Brightens the eyes
Expels external wind, treats facial paralysis
Expels cold with moxa
Expels heat
Calms rising CHI (especially of the GB), treats 1 sided frontal headaches on the GB meridian
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
218,GB15,TOU LIN QI,Head Supervising Tears,頭臨泣,,"Opposite of GB41 “foot supervising”. This point is located above the eye, the place where tears are formed Lin – general Qi – tear ","Directly above the pupil, 3.5 cun above the Glabella and half a cun behind the hairline (halfway between ST8 and GV24) ","Diagonal 0.5 – 1 cun ","1. Point on Yang Wei Mai
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
219,GB16,MAU CHUANG,Window of the Eye,目窗,,"Mau – eye Chuang  – window Located above the pupil this point is used to treat eye problems ","Directly above the pupil 5 cun above the glabella ","Diagonal 0.5-1 cun ","1. Point on Yang Wei Mai
SECONDARY
1. Treats blurry vision and eye pain
2. Treats dizziness
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
220,GB17,ZHENG YING,principle ying,正營,,"Zheng – principle, righteous Ying – blossoming, quality of spring, Ying CHI This point nourishes the eyes and souls with Ying – Xue ","Directly above the pupil 6.5 cun above the glabella ","Perpendicular 0.5-1 cun ","1. Point on the Yang Wei Mai
2. Bring CHI down from the head
3. Balances in instances of confusion and fear
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:54:19.616476
